"Name","Latitude","Longitude","Elevation","X","Y","Z"
"WSRT00NLD","52.9146","6.6045","82.2800","3828736.1381","443304.7367","5064884.5110"
"SHOE00GBR","51.5548","0.8270","48.9514","3973492.9909","57357.8721","4972192.8911"
"KEV200FIN","69.7559","27.0071","136.3338","1972152.8785","1005171.2703","5961801.4875"
"HETT00FIN","68.4067","23.6653","403.5845","2156253.2226","944971.0584","5908310.5253"
"USDL00POL","49.4329","22.5858","529.7514","3837558.2233","1596303.0315","4822409.6403"
"SABA00SRB","44.7596","19.6967","140.8989","4271111.9056","1529000.3236","4468514.4317"
"YEBE00ESP","40.5249","-3.0886","972.7643","4848724.9050","-261632.4930","4123093.9010"
"VIS000SWE","57.6539","18.3673","79.7806","3246470.5568","1077900.3114","5365277.8949"
"BORJ00DEU","53.5789","6.6664","53.0424","3769402.8000","440564.5000","5109099.2000"
"MOPS00ITA","44.6294","10.9492","92.1916","4463919.6477","863590.6138","4458193.7249"
"BRUX00BEL","50.7981","4.3586","158.1373","4027881.8468","306998.2610","4919498.6524"
"HEL200DEU","54.1863","7.8765","92.1823","3705182.8000","512590.0000","5148980.9000"
"SKE800SWE","64.8792","21.0481","81.2267","2534032.8752","975167.9315","5752078.7180"
"ILDX00FRA","46.0094","-1.1768","59.0261","4436671.2710","-91138.3760","4566017.8550"
"KRS100TUR","40.5885","43.0934","1811.7797","3542999.8373","3314720.2023","4129002.5312"
"DEVA00ROU","45.8784","22.9135","246.7372","4097210.9145","1731870.1945","4556026.6136"
"PADO00ITA","45.4112","11.8961","64.6674","4388882.2550","924567.2010","4519588.5109"
"GENO00ITA","44.4194","8.9211","155.5300","4507892.2461","707621.5731","4441603.5660"
"VIL000SWE","64.6978","16.5599","449.9468","2620258.8900","779137.9788","5743799.2749"
"LICC00GBR","51.4998","-0.1748","88.6598","3978703.5690","-12141.0380","4968417.2180"
"VALE00ESP","39.4808","-0.3377","77.5655","4929534.0240","-29050.6940","4033709.9000"
"JOZE00POL","52.0973","21.0315","141.0507","3664939.6857","1409153.9908","5009571.1962"
"CACE00ESP","39.4789","-6.3418","436.5075","4899866.8030","-544567.6029","4033769.7670"
"MATG00ITA","40.6490","16.7046","535.7279","4641953.1013","1393062.4794","4133277.9092"
"LIDA00BLR","53.8906","25.3039","189.3325","3405722.0242","1610159.5850","5129732.1013"
"GOPE00CZE","49.9137","14.7856","592.6113","3979316.4389","1050312.2534","4857066.9036"
"LEK600SWE","60.7222","14.8771","477.6888","3022567.2715","802951.3077","5540685.8691"
"TLSG00FRA","43.5497","1.4850","208.3088","4628684.7755","119996.7157","4372109.7032"
"MMET00ITA","40.3897","16.7864","60.3509","4657523.3759","1404985.8901","4111081.2370"
"ELBA00ITA","42.7529","10.2111","271.7566","4616534.1841","831568.3974","4307569.7601"
"SONS00ESP","39.6754","-3.9640","808.9501","4904660.5060","-339868.0460","4050823.4890"
"PMTH00GBR","50.4165","-4.1262","175.5583","4061825.4984","-293021.1983","4892572.1794"
"TEOS00ITA","42.6537","13.7306","428.7954","4564150.5191","1115201.0239","4299578.7899"
"BSVZ00ITA","45.6428","13.8752","440.4361","4336750.6003","1071248.3528","4537895.7424"
"TLMF00FRA","43.5746","1.3751","221.0293","4627010.0510","111069.2090","4374122.8500"
"LIGN00ITA","45.7899","7.4777","1720.0610","4418387.4096","579945.0803","4550229.8545"
"MIK300FIN","61.5741","27.1028","167.1863","2709832.4647","1386860.6069","5586222.6413"
"TOR300EST","58.2644","26.4615","92.8011","3010767.8829","1498585.5034","5401362.1876"
"OVE600SWE","66.3178","22.7734","222.8567","2368886.8630","994496.3299","5818476.6855"
"POTS00DEU","52.3793","13.0661","144.4277","3800689.6341","882077.3857","5028791.3179"
"VIGI00ITA","40.3359","15.9020","905.2155","4682999.4320","1334166.8798","4107070.5816"
"SOFI00BGR","42.5561","23.3947","1119.5911","4319372.3900","1868687.5700","4292063.8000"
"KILP00FIN","68.9416","20.9141","539.5566","2147250.4399","820562.0470","5930136.8782"
